-2,-1,81,0,-5,0
-2,-1,79,0,-4,0
-2,-1,79,0,-4,0
-2,-1,80,0,-4,0
-3,-1,79,1,-5,1
-2,-1,81,0,-5,0
-2,-1,80,0,-4,0
-2,-1,79,0,-4,0
-2,-1,79,0,-4,0
-2,-1,79,0,-4,0
-2,-1,80,1,-4,0
-1,-1,80,0,-4,1
-2,-1,78,0,-5,0
-3,-1,80,1,-4,1
-2,-1,79,0,-4,0
6,-1,79,-2,4,-3
6,-3,80,5,53,3
-5,4,74,-15,-10,-1
-4,-17,93,26,-6,-3
2,1,74,-6,-3,-4
0,-5,78,3,-6,0
-3,-7,83,8,-5,-3
-6,2,71,-12,-11,1
-3,3,76,-6,-9,-4
-2,-9,86,16,-8,-2
-4,2,77,-5,-7,2
2,-3,81,7,1,9
-1,-5,80,6,-6,0
-4,5,78,-14,-9,-4
-4,1,80,-3,-12,5
-2,-6,85,14,-5,2
0,2,74,-7,1,0
-4,-5,76,7,-11,4
-2,-2,78,1,-6,1
-4,4,76,-18,-13,-10
-2,4,74,-10,-9,-4
1,-9,87,13,-2,-10
-8,3,69,-13,-20,-5
-1,0,83,-2,-6,-8
-3,-6,83,6,-14,-5
-3,8,73,-19,-11,-3
-6,-1,80,-1,-20,6
0,-9,87,13,-5,2
-5,5,67,-17,-16,7
-6,-10,86,16,-14,-1
